SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-14-2019,Single Family Residential,6453 Elm Crest Ct,Fort Worth,TX,76132,815000,5,5.5,Hawthorne Park Estates,4457,17598,1997,371,183,63,Sold,,,http://www.redfin.com/TX/Fort-Worth/6453-Elm-Crest-Ct-76132/home/32423170,NTREIS,14086985,N,Y,32.6606737,-97.4304881
PAST SALE,May-30-2019,Single Family Residential,6733 East Park Dr,Fort Worth,TX,76132,445000,4,3.5,Bellaire Park North,3259,11935,1995,386,137,3,Sold,,,http://www.redfin.com/TX/Fort-Worth/6733-E-Park-Dr-76132/home/32415656,NTREIS,14067472,N,Y,32.6713804,-97.4290517
PAST SALE,May-30-2019,Single Family Residential,6532 S Dover St,Fort Worth,TX,76132,429900,4,3.0,Trinity Heights Crowley ISD,2166,9845,1999,386,198,85,Sold,,,http://www.redfin.com/TX/Fort-Worth/6532-Dover-Ter-S-76132/home/32457342,NTREIS,14014689,N,Y,32.6524637,-97.4323682
PAST SALE,May-15-2019,Single Family Residential,7337 Valencia Grove Ct,Fort Worth,TX,76132,369000,3,2.0,River Hills II Add,1984,7405,2010,401,186,46,Sold,,,http://www.redfin.com/TX/Fort-Worth/7337-Valencia-Grove-Ct-76132/home/31306037,NTREIS,13995988,N,Y,32.6666558,-97.4276786
PAST SALE,October-17-2018,Single Family Residential,7025 Shinnecock Hills Dr,Fort Worth,TX,76132,1050000,3,3.0,Mira Vista Add,3927,12197,2008,611,267,183,Sold,,,http://www.redfin.com/TX/Fort-Worth/7025-Shinnecock-Hills-Dr-76132/home/32465389,NTREIS,13921954,N,Y,32.647097,-97.4418116
PAST SALE,March-29-2019,Single Family Residential,7020 Shinnecock Hills Dr,Fort Worth,TX,76132,1100000,4,5.0,Mira Vista Add,4831,15682,2018,448,228,204,Sold,,,http://www.redfin.com/TX/Fort-Worth/7020-Shinnecock-Hills-Dr-76132/home/32465388,NTREIS,13764824,N,Y,32.647512,-97.442296
PAST SALE,June-21-2019,Single Family Residential,6709 Olympia Hills Rd,Fort Worth,TX,76132,639000,4,3.5,Mira Vista Add,3560,13155,2000,364,179,183,Sold,,,http://www.redfin.com/TX/Fort-Worth/6709-Olympia-Hills-Ct-76132/home/32456973,NTREIS,14065808,N,Y,32.6476489,-97.441389
PAST SALE,June-28-2019,Single Family Residential,6905 Hazeltine Dr,Fort Worth,TX,76132,825000,5,3.5,Mira Vista Add,3976,11761,1994,357,207,183,Sold,,,http://www.redfin.com/TX/Fort-Worth/6905-Hazeltine-Dr-76132/home/32415958,NTREIS,14095208,N,Y,32.6577273,-97.4402059
PAST SALE,September-10-2019,Single Family Residential,6809 Lahontan Dr,Fort Worth,TX,76132,1060000,4,4.5,Mira Vista Add,4834,16945,2007,283,219,212,Sold,,,http://www.redfin.com/TX/Fort-Worth/6809-Lahontan-Dr-76132/home/32456995,NTREIS,14000779,N,Y,32.6498893,-97.4380298
PAST SALE,October-17-2019,Single Family Residential,6529 Turnberry Dr,Fort Worth,TX,76132,640000,3,4.0,Mira Vista Add,4225,12197,1996,246,151,550,Sold,,,http://www.redfin.com/TX/Fort-Worth/6529-Turnberry-Dr-76132/home/32415971,NTREIS,14176611,N,Y,32.6568977,-97.4397622
